Complexity,Loss,Equation
1,14163.737496651614,"338.03745677902435"
2,387.4341670902902,"abs(Prev_Timestep_Temp)"
3,387.0659723475681,"Prev_Timestep_Temp + 0.6067905347813056"
4,387.06597234756805,"abs(Prev_Timestep_Temp + 0.6067905340609598)"
5,385.3601305296201,"Prev_Timestep_Temp + (Z / Distance_To_Laser)"
7,382.6400169398945,"Prev_Timestep_Temp + (Z / (Distance_To_Laser / 4.052643992138814))"
8,377.49882129192724,"sqrt(custom_square(0.32876858697030464 / Distance_To_Laser) + custom_square(Closest_Neighbor_Temp))"
10,377.49619207929675,"Distance_To_Laser + sqrt((0.10798158688915985 / custom_square(Distance_To_Laser)) + custom_square(Closest_Neighbor_Temp))"
11,377.29899615521526,"sqrt((sqrt(Z) / abs(custom_square(tanh(Distance_To_Laser)))) + custom_square(Prev_Timestep_Temp))"
13,373.6339050293951,"(2.697288149992264 / (exp(tanh(Prev_Timestep_Temp * (Distance_To_Laser ^ 0.9042487077653278))) / Closest_Neighbor_Temp)) + 2.989957162522213"
15,373.46579936885587,"(2.69682346024094 / (exp(tanh(((Closest_Neighbor_Temp * Distance_To_Laser) + X) / 0.5982929867609396)) / Prev_Timestep_Temp)) + 3.0624695992753193"
20,372.1999438807176,"((log(Z) + Prev_Timestep_Temp) / exp(exp(2.673596896305447 - ((Min_Neighbor_Temp - Max_Neighbor_Temp) / (4.672721011262193 - Prev_Timestep_Temp))))) + (Prev_Timestep_Temp - -0.3853634387617238)"
21,369.4978875782536,"((Prev_Timestep_Temp + log(Timestep)) / exp(exp(3.3843943563194223 - ((Closest_Neighbor_Temp - Max_Neighbor_Temp) / (exp(4.607090209594547) - Prev_Timestep_Temp))))) + (Prev_Timestep_Temp - -0.2315520205377573)"
